twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
43;4.94;0;0;0;0;0;0
40.6;0;5.82;0;0;0;0;0
39;0;0;6.41;0;0;0;0
37.8;0;0;0;6.64;0;0;0
37.6;0;0;0;0;6.78;0;0
37.6;0;0;0;0;0;6.87;0
37.8;0;0;0;0;0;0;6.92
52;5.52;6.52;7.11;7.39;7.51;7.58;7.65
60;5.81;6.76;7.28;7.56;7.72;7.8;7.89
75;6;6.92;7.42;7.74;7.97;8.14;8.32
90;6.04;7.08;7.5;7.76;8.06;8.33;8.74
110;6.17;7.26;7.81;8.19;8.46;8.71;9.17
120;6.04;7.18;7.78;8.27;8.71;9.1;9.77
135;5.42;6.72;7.5;8.03;8.55;9.11;10.6
150;4.6;5.8;6.79;7.45;7.84;8.2;8.99
143.9;4.93;0;0;0;0;0;0
147.3;0;5.97;0;0;0;0;0
149.2;0;0;6.85;0;0;0;0
150.5;0;0;0;7.42;0;0;0
150.2;0;0;0;0;7.82;0;0
173;0;0;0;0;0;7.27;0
174.8;0;0;0;0;0;0;8.04
